CUSTOMER,Tahun,Bulan OK,NO REK, NO.OK , NAMA BARANG ,  PEMAKAIAN BAHAN BAKU ,  Waste_Total @Kg , Waste %
PT PURA BARUTAMA,2024,1,123.0601.020,OK/TAB/24/I/00051,BSJ FOIL PAPER/GOLD 6.5 U 60 GSM X 990 MM,41319.9,-2547,-6.16%
PT PURA BARUTAMA,2024,1,124.1055.003,OK/TAB/23/XI/00134,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,150209.76,35211.36,23.44%
PT PURA BARUTAMA,2024,1,124.1055.003,OK/TAB/23/XII/00042,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,72108.61,15978.01,22.16%
PT PURA BARUTAMA,2024,1,124.1055.003,OK/TAB/23/XII/00064,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,77697.28,4015.58,5.17%
PT PURA BARUTAMA,2024,1,124.1055.004,OK/TAB/23/XI/00133,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,10259,1122.72,10.94%
PT PURA BARUTAMA,2024,1,124.1055.004,OK/TAB/23/XII/00032,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,5637.53,2095.13,37.16%
PT PURA BARUTAMA,2024,1,124.1055.004,OK/TAB/23/XII/00047,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,11270.9,2118.87,18.80%
PT PURA BARUTAMA,2024,2,124.1055.002,OK/TAB/24/I/00169,CETAKAN FOIL PAPER/MIXED COLORS (LEP) 60 GSM X 38 MM X 92 MM,5177.32,767.02,14.82%
PT PURA BARUTAMA,2024,2,124.1055.003,OK/TAB/23/XII/00048,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,154303.44,42068.04,27.26%
PT PURA BARUTAMA,2024,2,124.1055.003,OK/TAB/24/I/00048,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,31756.14,8276.94,26.06%
PT PURA BARUTAMA,2024,2,124.1055.003,OK/TAB/24/I/00086,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,66326.25,18439.05,27.80%
PT PURA BARUTAMA,2024,2,124.1055.003,OK/TAB/24/I/00122,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,170194.73,42581.93,25.02%
PT PURA BARUTAMA,2024,2,124.1055.004,OK/TAB/24/I/00047,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,28350.72,5195.52,18.33%
PT PURA BARUTAMA,2024,3,123.0690.014,OK/TAB/24/I/00168,BSJ FOIL PAPER/SILVER COATING (DULL SIDE) 6.5 U 60 GSM X 495 MM,10316.26,332.19,3.22%
PT PURA BARUTAMA,2024,3,124.1055.003,OK/TAB/24/I/00167,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,19968.14,5884.94,29.47%
PT PURA BARUTAMA,2024,3,124.1055.003,OK/TAB/24/I/00288,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,30805.5,9486.3,30.79%
PT PURA BARUTAMA,2024,3,124.1055.003,OK/TAB/24/II/00075,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,109086.55,32082.55,29.41%
PT PURA BARUTAMA,2024,3,124.1055.003,OK/TAB/24/II/00151,CETAKAN FOIL PAPER/MIXED COLORS (SNP) 60 GSM X 38 MM X 92 MM,395412.5,69327.86,17.53%
PT PURA BARUTAMA,2024,3,124.1055.004,OK/TAB/24/II/00074,CETAKAN FOIL PAPER/MIXED COLORS (SAH PRINTED) 60 GSM X 38 MM X 92 MM,18333.63,5656.62,30.85%
